"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"2023F","US","CCNIE","-.6","-.9","-.6","-.8","-1.2","-2.1","-2.8","-1.7","-2","-4.1","-6.6","-3.8","-3","-.8"," 6.4"," 1.5"," 0"," 1.7"," 14.2"," 7.1","-4","-1.8","-2.5","-1.8","-1.3","-1.5","-1.9"," 1"," 4.5"," 3.5"," .5"," 1.1"," 3.9"," 3.1"," 6.6"," 6.9"," 2.6"," 5.3"," 7.6"," 6.6"," 7.4"," 3.3"," 6.9"," 5.7"," 15.7"," 5"," 6.9"," 2.9"," 4.6","-2.7","-.7"," 1.3"," .5","-2","-2.5","-2","-2.2","-3.3","-2.9","-2.4","-1.5","-5.5","-6.3","-3.7"
"2023F","US","CDEGR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 451.5"," 435"," 419.8"," 416.9"," 405"," 400.9"," 394.9"," 387.1"," 375"," 360"," 358"," 346.1"," 329.6"," 332.4"," 319.2"," 299.5"," 300.1"," 295.8"," 278.8"," 269"," 260.7"," 260.8"," 247.8"," 225.6"," 227.6"," 223.8"," 210.9"
"2023F","US","CDTCR"," 66.3"," 66"," 65.9"," 65.8"," 65.8"," 65.9"," 65.8"," 65.4"," 65.2"," 64.8"," 64.5"," 64"," 64"," 64"," 63.6"," 63.4"," 63.5"," 63.3"," 62.7"," 62.8"," 62.6"," 62.5"," 62.2"," 62.2"," 62.1"," 62"," 62"," 61.8"," 61.7"," 61.4"," 61.1"," 60.6"," 60.6"," 60.7"," 60.3"," 59.9"," 60.2"," 60.6"," 60.7"," 60.3"," 60.8"," 61.1"," 60.7"," 61.3"," 61"," 61.1"," 60.8"," 60.6"," 60.1"," 58.8"," 58.7"," 57.9"," 57"," 56.7"," 56.7"," 55.5"," 54.7"," 54.4"," 54.1"," 53.2"," 51.5"," 52.4"," 52"," 51.1"
"2023F","US","CDTPR"," 16.1"," 16"," 16.4"," 16.8"," 17.3"," 17.8"," 18.6"," 18.9"," 19.8"," 20.4"," 20.7"," 20.7"," 21.6"," 22.3"," 21.3"," 20.5"," 21.5"," 22"," 22"," 22"," 20.9"," 20.2"," 19"," 18.7"," 19.5"," 19.4"," 19.2"," 19.7"," 20.5"," 20.6"," 20.2"," 19.7"," 19.8"," 19.9"," 20"," 20"," 20.4"," 20.5"," 20.4"," 20.4"," 20.8"," 20.2"," 20.2"," 20.2"," 20.4"," 20.3"," 19.8"," 19.9"," 19.1"," 17.6"," 18"," 17.5"," 16.6"," 16.9"," 17"," 16.3"," 15.9"," 15.7"," 16.1"," 15.6"," 13.8"," 14.7"," 14.8"," 14.2"
"2023F","US","CLACE"," 7.2"," 1.8"," 1.6"," 1.6"," 1.7"," 1.5"," 1.4"," 1.1"," 1"," .7"," .7"," .4"," .4"," .2"," .2"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","US","CLCCE"," 38.6"," 35.2"," 34.3"," 30.2"," 26.1"," 25.2"," 25"," 21.4"," 19.7"," 18.5"," 15.7"," 17"," 14.6"," 15.3"," 16.7"," 14"," 13.8"," 14.2"," 15.8"," 14.5"," 11.2"," 13.2"," 14.9"," 15.5"," 16.2"," 13.2"," 13"," 12.2"," 12.6"," 11.1"," 11.9"," 11.1"," 11.3"," 11.2"," 11.2"," 11.1"," 11.5"," 12.2"," 9.6"," 9.7"," 8.2"," 8.4"," 8.4"," 7.9"," 9.8"," 9.1"," 6.2"," 6.7"," 7.6"," 6.9"," 6.6"," 5.8"," 4.1"," 3.9"," 3.8"," 3"," 2.3"," 2"," 1.8"," 1.6"," 1.4"," 1.4"," 1.4"," 1.1"
"2023F","US","CLEIE"," 402"," 414.2"," 439.7"," 480.3"," 511.7"," 553.7"," 599.4"," 613"," 665.2"," 686.6"," 687.5"," 694.3"," 745.9"," 823.7"," 812.1"," 836"," 925.5"," 975.7"," 975.2"," 1072"," 1156.4"," 1200.6"," 1192.5"," 1254.1"," 1327.9"," 1387.4"," 1371.4"," 1437.6"," 1511"," 1534.7"," 1546.4"," 1547.2"," 1568.3"," 1631.6"," 1637.8"," 1659.9"," 1751.4"," 1795.8"," 1827"," 1835.1"," 1926.1"," 1869.1"," 1888.9"," 1930.1"," 1941.6"," 1982.9"," 1952.8"," 1985.7"," 1958.4"," 1740"," 1827.6"," 1722.7"," 1511.8"," 1571.3"," 1568.5"," 1351.5"," 1241.9"," 1207"," 1153"," 973.6"," 788.1"," 910"," 851.3"," 694.4"
"2023F","US","CLICE"," 421.8"," 403.6"," 407.8"," 426.8"," 456"," 474.5"," 482.1"," 456.9"," 449.7"," 433.3"," 425.3"," 362"," 366.6"," 372.7"," 362.6"," 339.5"," 336.6"," 320"," 319.9"," 338.8"," 287.9"," 290.1"," 234.3"," 230.2"," 263.4"," 257.3"," 246"," 250.9"," 269.8"," 263.4"," 258.7"," 245.4"," 239.6"," 237"," 241.1"," 240.9"," 230.5"," 229.4"," 219"," 211.6"," 219"," 208.4"," 194.6"," 195.5"," 205.7"," 187.6"," 186.6"," 177.8"," 172.8"," 128.4"," 151.5"," 147.9"," 142.4"," 142.8"," 141.1"," 127.6"," 111.3"," 109.2"," 107.7"," 102.4"," 86.9"," 91.7"," 86.2"," 81.7"
"2023F","US","CLRCE"," 55.5"," 50.6"," 49.4"," 41.7"," 36"," 33.4"," 33.1"," 28.4"," 25.1"," 23.6"," 19.9"," 16.4"," 11.1"," 9"," 7.9"," 6"," 5.6"," 5.5"," 4.7"," 3.6"," 3"," 2.9"," 3.1"," 3"," 3.8"," 3.7"," 3.9"," 3.6"," 3.6"," 2.9"," 3"," 2.4"," 2.5"," 2.5"," 2"," 1.7"," 1.6"," 1.5"," 1.2"," 1.3"," 1"," 1"," 1.1"," 1.2"," 1.1"," .8"," .6"," .7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","US","CLTCE"," 925.1"," 905.4"," 932.8"," 980.6"," 1031.5"," 1088.3"," 1141"," 1120.8"," 1160.7"," 1162.7"," 1149"," 1090.1"," 1138.6"," 1220.9"," 1199.4"," 1195.6"," 1281.6"," 1315.5"," 1315.6"," 1428.8"," 1458.4"," 1506.8"," 1444.8"," 1502.8"," 1611.4"," 1661.6"," 1634.3"," 1704.4"," 1797"," 1812.1"," 1820"," 1806.1"," 1821.7"," 1882.2"," 1892.1"," 1913.6"," 1994.9"," 2039"," 2056.8"," 2057.8"," 2154.4"," 2087"," 2093"," 2134.7"," 2158.2"," 2180.4"," 2146.2"," 2171"," 2138.7"," 1875.3"," 1985.6"," 1876.5"," 1658.3"," 1718.1"," 1713.4"," 1482"," 1355.5"," 1318.2"," 1262.6"," 1077.6"," 876.4"," 1003.1"," 938.9"," 777.2"
