"Series Key",NG.RNGR11SCA_1.A
"Series Name","NG.RNGR11SCA_1.A, annual"
Units,BCF
Frequency,A
"Start Date",2021
"End Date",1977
Source,"EIA, U.S. Energy Information Administration"

2021,1151
2020,1065
2019,1280
2018,1451
2017,1560
2016,1340
2015,1832
2014,2107
2013,1887
2012,1999
2011,2934
2010,2647
2009,2773
2008,2406
2007,2740
2006,2794
2005,3228
2004,2634
2003,2450
2002,2591
2001,2681
2000,2849
1999,2387
1998,2244
1997,2273
1996,2082
1995,2243
1994,2402
1993,2682
1992,2778
1991,3004
1990,3185
1989,3374
1988,3519
1987,3740
1986,3928
1980,5000
1979,4700
1978,4701
1977,4487
