"Series Key",NG.RNGR11SNY_1.A
"Series Name","NG.RNGR11SNY_1.A, annual"
Units,BCF
Frequency,A
"Start Date",2021
"End Date",1977
Source,"EIA, U.S. Energy Information Administration"

2021,92
2020,115
2019,81
2018,102
2017,104
2016,120
2015,104
2014,143
2013,144
2012,184
2011,253
2010,281
2009,196
2008,389
2007,376
2006,363
2005,349
2004,324
2003,365
2002,315
2001,318
2000,322
1999,221
1998,218
1997,224
1996,232
1995,197
1994,242
1993,264
1992,329
1991,331
1990,354
1989,368
1988,351
1987,410
1986,457
1985,369
1984,389
1983,295
1982,229
1981,264
1980,208
1979,211
1978,193
1977,165
