year,annual_price_mean,annual_price_median,weekly_points,state,source_file
2000,1.76821875,1.7595,32,CA,retailgasolineprices_ca.csv
2001,1.6773962264150943,1.704,53,CA,retailgasolineprices_ca.csv
2002,1.560923076923077,1.6105,52,CA,retailgasolineprices_ca.csv
2003,1.877903846153846,1.831,52,CA,retailgasolineprices_ca.csv
2004,2.1664038461538464,2.173,52,CA,retailgasolineprices_ca.csv
2005,2.5172115384615386,2.5045,52,CA,retailgasolineprices_ca.csv
2006,2.8546730769230773,2.758,52,CA,retailgasolineprices_ca.csv
2007,3.1236415094339622,3.19,53,CA,retailgasolineprices_ca.csv
2008,3.560711538461539,3.688,52,CA,retailgasolineprices_ca.csv
2009,2.7251346153846154,2.94,52,CA,retailgasolineprices_ca.csv
2010,3.138173076923077,3.138,52,CA,retailgasolineprices_ca.csv
2011,3.8633846153846156,3.8834999999999997,52,CA,retailgasolineprices_ca.csv
2012,4.080924528301886,4.175,53,CA,retailgasolineprices_ca.csv
2013,3.9333653846153847,3.9805,52,CA,retailgasolineprices_ca.csv
2014,3.7935961538461536,3.8975,52,CA,retailgasolineprices_ca.csv
2015,3.2207500000000002,3.2075,52,CA,retailgasolineprices_ca.csv
2016,2.7820576923076925,2.82,52,CA,retailgasolineprices_ca.csv
2017,3.0798653846153843,3.0685000000000002,52,CA,retailgasolineprices_ca.csv
2018,3.5512264150943396,3.585,53,CA,retailgasolineprices_ca.csv
2019,3.677192307692308,3.668,52,CA,retailgasolineprices_ca.csv
2020,3.132403846153846,3.133,52,CA,retailgasolineprices_ca.csv
2021,4.100288461538462,4.224,52,CA,retailgasolineprices_ca.csv
2022,5.406076923076923,5.4879999999999995,52,CA,retailgasolineprices_ca.csv
2023,4.879480769230769,4.79,52,CA,retailgasolineprices_ca.csv
2024,4.64233962264151,4.552,53,CA,retailgasolineprices_ca.csv
2025,4.528365384615385,4.5435,52,CA,retailgasolineprices_ca.csv
2026,4.9185,4.5755,16,CA,retailgasolineprices_ca.csv
2000,1.6813333333333333,1.669,30,NY,retailgasolineprices_ny.csv
2001,1.5635849056603774,1.574,53,NY,retailgasolineprices_ny.csv
2002,1.4936730769230768,1.5415,52,NY,retailgasolineprices_ny.csv
2003,1.7321923076923076,1.7160000000000002,52,NY,retailgasolineprices_ny.csv
2004,2.03925,2.0735,52,NY,retailgasolineprices_ny.csv
2005,2.454846153846154,2.3735,52,NY,retailgasolineprices_ny.csv
2006,2.8000576923076923,2.6755,52,NY,retailgasolineprices_ny.csv
2007,2.9984905660377357,3.049,53,NY,retailgasolineprices_ny.csv
2008,3.499576923076923,3.49,52,NY,retailgasolineprices_ny.csv
2009,2.5721538461538462,2.771,52,NY,retailgasolineprices_ny.csv
2010,2.9995,2.9615,52,NY,retailgasolineprices_ny.csv
2011,3.803923076923077,3.8345000000000002,52,NY,retailgasolineprices_ny.csv
2012,3.9381509433962267,3.963,53,NY,retailgasolineprices_ny.csv
2013,3.8373846153846154,3.801,52,NY,retailgasolineprices_ny.csv
2014,3.6972115384615383,3.7800000000000002,52,NY,retailgasolineprices_ny.csv
2015,2.6672307692307693,2.6470000000000002,52,NY,retailgasolineprices_ny.csv
2016,2.3610192307692306,2.412,52,NY,retailgasolineprices_ny.csv
2017,2.619153846153846,2.5905,52,NY,retailgasolineprices_ny.csv
2018,2.8946981132075473,2.968,53,NY,retailgasolineprices_ny.csv
2019,2.730057692307692,2.712,52,NY,retailgasolineprices_ny.csv
2020,2.3238653846153845,2.2554999999999996,52,NY,retailgasolineprices_ny.csv
2021,3.105038461538461,3.1710000000000003,52,NY,retailgasolineprices_ny.csv
2022,4.1052307692307695,4.0205,52,NY,retailgasolineprices_ny.csv
2023,3.661326923076923,3.682,52,NY,retailgasolineprices_ny.csv
2024,3.4280377358490566,3.4,53,NY,retailgasolineprices_ny.csv
2025,3.183903846153846,3.1864999999999997,52,NY,retailgasolineprices_ny.csv
2026,3.4091875,3.0355,16,NY,retailgasolineprices_ny.csv
