year,natgas_supply_bcf,state,series_key
2021,1151,CA,NG.RNGR11SCA_1.A
2020,1065,CA,NG.RNGR11SCA_1.A
2019,1280,CA,NG.RNGR11SCA_1.A
2018,1451,CA,NG.RNGR11SCA_1.A
2017,1560,CA,NG.RNGR11SCA_1.A
2016,1340,CA,NG.RNGR11SCA_1.A
2015,1832,CA,NG.RNGR11SCA_1.A
2014,2107,CA,NG.RNGR11SCA_1.A
2013,1887,CA,NG.RNGR11SCA_1.A
2012,1999,CA,NG.RNGR11SCA_1.A
2011,2934,CA,NG.RNGR11SCA_1.A
2010,2647,CA,NG.RNGR11SCA_1.A
2009,2773,CA,NG.RNGR11SCA_1.A
2008,2406,CA,NG.RNGR11SCA_1.A
2007,2740,CA,NG.RNGR11SCA_1.A
2006,2794,CA,NG.RNGR11SCA_1.A
2005,3228,CA,NG.RNGR11SCA_1.A
2004,2634,CA,NG.RNGR11SCA_1.A
2003,2450,CA,NG.RNGR11SCA_1.A
2002,2591,CA,NG.RNGR11SCA_1.A
2001,2681,CA,NG.RNGR11SCA_1.A
2000,2849,CA,NG.RNGR11SCA_1.A
1999,2387,CA,NG.RNGR11SCA_1.A
1998,2244,CA,NG.RNGR11SCA_1.A
1997,2273,CA,NG.RNGR11SCA_1.A
1996,2082,CA,NG.RNGR11SCA_1.A
1995,2243,CA,NG.RNGR11SCA_1.A
1994,2402,CA,NG.RNGR11SCA_1.A
1993,2682,CA,NG.RNGR11SCA_1.A
1992,2778,CA,NG.RNGR11SCA_1.A
1991,3004,CA,NG.RNGR11SCA_1.A
1990,3185,CA,NG.RNGR11SCA_1.A
1989,3374,CA,NG.RNGR11SCA_1.A
1988,3519,CA,NG.RNGR11SCA_1.A
1987,3740,CA,NG.RNGR11SCA_1.A
1986,3928,CA,NG.RNGR11SCA_1.A
1980,5000,CA,NG.RNGR11SCA_1.A
1979,4700,CA,NG.RNGR11SCA_1.A
1978,4701,CA,NG.RNGR11SCA_1.A
1977,4487,CA,NG.RNGR11SCA_1.A
2021,92,NY,NG.RNGR11SNY_1.A
2020,115,NY,NG.RNGR11SNY_1.A
2019,81,NY,NG.RNGR11SNY_1.A
2018,102,NY,NG.RNGR11SNY_1.A
2017,104,NY,NG.RNGR11SNY_1.A
2016,120,NY,NG.RNGR11SNY_1.A
2015,104,NY,NG.RNGR11SNY_1.A
2014,143,NY,NG.RNGR11SNY_1.A
2013,144,NY,NG.RNGR11SNY_1.A
2012,184,NY,NG.RNGR11SNY_1.A
2011,253,NY,NG.RNGR11SNY_1.A
2010,281,NY,NG.RNGR11SNY_1.A
2009,196,NY,NG.RNGR11SNY_1.A
2008,389,NY,NG.RNGR11SNY_1.A
2007,376,NY,NG.RNGR11SNY_1.A
2006,363,NY,NG.RNGR11SNY_1.A
2005,349,NY,NG.RNGR11SNY_1.A
2004,324,NY,NG.RNGR11SNY_1.A
2003,365,NY,NG.RNGR11SNY_1.A
2002,315,NY,NG.RNGR11SNY_1.A
2001,318,NY,NG.RNGR11SNY_1.A
2000,322,NY,NG.RNGR11SNY_1.A
1999,221,NY,NG.RNGR11SNY_1.A
1998,218,NY,NG.RNGR11SNY_1.A
1997,224,NY,NG.RNGR11SNY_1.A
1996,232,NY,NG.RNGR11SNY_1.A
1995,197,NY,NG.RNGR11SNY_1.A
1994,242,NY,NG.RNGR11SNY_1.A
1993,264,NY,NG.RNGR11SNY_1.A
1992,329,NY,NG.RNGR11SNY_1.A
1991,331,NY,NG.RNGR11SNY_1.A
1990,354,NY,NG.RNGR11SNY_1.A
1989,368,NY,NG.RNGR11SNY_1.A
1988,351,NY,NG.RNGR11SNY_1.A
1987,410,NY,NG.RNGR11SNY_1.A
1986,457,NY,NG.RNGR11SNY_1.A
1985,369,NY,NG.RNGR11SNY_1.A
1984,389,NY,NG.RNGR11SNY_1.A
1983,295,NY,NG.RNGR11SNY_1.A
1982,229,NY,NG.RNGR11SNY_1.A
1981,264,NY,NG.RNGR11SNY_1.A
1980,208,NY,NG.RNGR11SNY_1.A
1979,211,NY,NG.RNGR11SNY_1.A
1978,193,NY,NG.RNGR11SNY_1.A
1977,165,NY,NG.RNGR11SNY_1.A
