year,petroleum_value,state,series_key,units
2024,91328,CA,SEDS.DFTCP.CA.A,Thousand barrels
2023,96776,CA,SEDS.DFTCP.CA.A,Thousand barrels
2022,98320,CA,SEDS.DFTCP.CA.A,Thousand barrels
2021,98509,CA,SEDS.DFTCP.CA.A,Thousand barrels
2020,91727,CA,SEDS.DFTCP.CA.A,Thousand barrels
2019,98407,CA,SEDS.DFTCP.CA.A,Thousand barrels
2018,99970,CA,SEDS.DFTCP.CA.A,Thousand barrels
2017,100277,CA,SEDS.DFTCP.CA.A,Thousand barrels
2016,97173,CA,SEDS.DFTCP.CA.A,Thousand barrels
2015,98250,CA,SEDS.DFTCP.CA.A,Thousand barrels
2014,97156,CA,SEDS.DFTCP.CA.A,Thousand barrels
2013,92440,CA,SEDS.DFTCP.CA.A,Thousand barrels
2012,89815,CA,SEDS.DFTCP.CA.A,Thousand barrels
2011,93626,CA,SEDS.DFTCP.CA.A,Thousand barrels
2010,91523,CA,SEDS.DFTCP.CA.A,Thousand barrels
2009,87734,CA,SEDS.DFTCP.CA.A,Thousand barrels
2008,90395,CA,SEDS.DFTCP.CA.A,Thousand barrels
2007,99024,CA,SEDS.DFTCP.CA.A,Thousand barrels
2006,99305,CA,SEDS.DFTCP.CA.A,Thousand barrels
2005,96902,CA,SEDS.DFTCP.CA.A,Thousand barrels
2004,94023,CA,SEDS.DFTCP.CA.A,Thousand barrels
2003,82540,CA,SEDS.DFTCP.CA.A,Thousand barrels
2002,89580,CA,SEDS.DFTCP.CA.A,Thousand barrels
2001,97376,CA,SEDS.DFTCP.CA.A,Thousand barrels
2000,93456,CA,SEDS.DFTCP.CA.A,Thousand barrels
1999,82748,CA,SEDS.DFTCP.CA.A,Thousand barrels
1998,78526,CA,SEDS.DFTCP.CA.A,Thousand barrels
1997,79624,CA,SEDS.DFTCP.CA.A,Thousand barrels
1996,73677,CA,SEDS.DFTCP.CA.A,Thousand barrels
1995,73050,CA,SEDS.DFTCP.CA.A,Thousand barrels
1994,72385,CA,SEDS.DFTCP.CA.A,Thousand barrels
1993,64985,CA,SEDS.DFTCP.CA.A,Thousand barrels
1992,69190,CA,SEDS.DFTCP.CA.A,Thousand barrels
1991,74857,CA,SEDS.DFTCP.CA.A,Thousand barrels
1990,77233,CA,SEDS.DFTCP.CA.A,Thousand barrels
1989,80510,CA,SEDS.DFTCP.CA.A,Thousand barrels
1988,81954,CA,SEDS.DFTCP.CA.A,Thousand barrels
1987,68393,CA,SEDS.DFTCP.CA.A,Thousand barrels
1986,74668,CA,SEDS.DFTCP.CA.A,Thousand barrels
1985,71538,CA,SEDS.DFTCP.CA.A,Thousand barrels
1984,75417,CA,SEDS.DFTCP.CA.A,Thousand barrels
1983,68093,CA,SEDS.DFTCP.CA.A,Thousand barrels
1982,67264,CA,SEDS.DFTCP.CA.A,Thousand barrels
1981,67523,CA,SEDS.DFTCP.CA.A,Thousand barrels
1980,62277,CA,SEDS.DFTCP.CA.A,Thousand barrels
1979,66872,CA,SEDS.DFTCP.CA.A,Thousand barrels
1978,60214,CA,SEDS.DFTCP.CA.A,Thousand barrels
1977,51755,CA,SEDS.DFTCP.CA.A,Thousand barrels
1976,45810,CA,SEDS.DFTCP.CA.A,Thousand barrels
1975,42335,CA,SEDS.DFTCP.CA.A,Thousand barrels
1974,43775,CA,SEDS.DFTCP.CA.A,Thousand barrels
1973,51869,CA,SEDS.DFTCP.CA.A,Thousand barrels
1972,46087,CA,SEDS.DFTCP.CA.A,Thousand barrels
1971,47387,CA,SEDS.DFTCP.CA.A,Thousand barrels
1970,39221,CA,SEDS.DFTCP.CA.A,Thousand barrels
1969,38892,CA,SEDS.DFTCP.CA.A,Thousand barrels
1968,38591,CA,SEDS.DFTCP.CA.A,Thousand barrels
1967,38088,CA,SEDS.DFTCP.CA.A,Thousand barrels
1966,37557,CA,SEDS.DFTCP.CA.A,Thousand barrels
1965,35105,CA,SEDS.DFTCP.CA.A,Thousand barrels
1964,35128,CA,SEDS.DFTCP.CA.A,Thousand barrels
1963,32208,CA,SEDS.DFTCP.CA.A,Thousand barrels
1962,29861,CA,SEDS.DFTCP.CA.A,Thousand barrels
1961,27612,CA,SEDS.DFTCP.CA.A,Thousand barrels
1960,26683,CA,SEDS.DFTCP.CA.A,Thousand barrels
2024,15460,CA,SEDS.HLTCP.CA.A,Thousand barrels
2023,15524,CA,SEDS.HLTCP.CA.A,Thousand barrels
2022,15613,CA,SEDS.HLTCP.CA.A,Thousand barrels
2021,15791,CA,SEDS.HLTCP.CA.A,Thousand barrels
2020,15152,CA,SEDS.HLTCP.CA.A,Thousand barrels
2019,16026,CA,SEDS.HLTCP.CA.A,Thousand barrels
2018,15198,CA,SEDS.HLTCP.CA.A,Thousand barrels
2017,14508,CA,SEDS.HLTCP.CA.A,Thousand barrels
2016,15053,CA,SEDS.HLTCP.CA.A,Thousand barrels
2015,13951,CA,SEDS.HLTCP.CA.A,Thousand barrels
2014,13959,CA,SEDS.HLTCP.CA.A,Thousand barrels
2013,14303,CA,SEDS.HLTCP.CA.A,Thousand barrels
2012,14441,CA,SEDS.HLTCP.CA.A,Thousand barrels
2011,16505,CA,SEDS.HLTCP.CA.A,Thousand barrels
2010,16507,CA,SEDS.HLTCP.CA.A,Thousand barrels
2009,16682,CA,SEDS.HLTCP.CA.A,Thousand barrels
2008,16341,CA,SEDS.HLTCP.CA.A,Thousand barrels
2007,11505,CA,SEDS.HLTCP.CA.A,Thousand barrels
2006,12090,CA,SEDS.HLTCP.CA.A,Thousand barrels
2005,12375,CA,SEDS.HLTCP.CA.A,Thousand barrels
2004,14831,CA,SEDS.HLTCP.CA.A,Thousand barrels
2003,14689,CA,SEDS.HLTCP.CA.A,Thousand barrels
2002,14696,CA,SEDS.HLTCP.CA.A,Thousand barrels
2001,11060,CA,SEDS.HLTCP.CA.A,Thousand barrels
2000,12558,CA,SEDS.HLTCP.CA.A,Thousand barrels
1999,12171,CA,SEDS.HLTCP.CA.A,Thousand barrels
1998,10936,CA,SEDS.HLTCP.CA.A,Thousand barrels
