year,energy_value,state,series_key,units
2024,29082.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2023,28746.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2022,30049.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2021,28244.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2020,28034.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2019,30886.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2018,33256.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2017,33663.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2016,32077.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2015,30967.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2014,39486.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2013,38151.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2012,43832.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2011,55264.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2010,54972.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2009,52403.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2008,63050.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2007,66495.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2006,67017.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2005,67422.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2004,68909.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2003,69469.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2002,70010.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2001,67839.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2000,70012.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1999,69547.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1998,66157.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1997,82651.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1996,80324.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1995,84323.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1994,84616.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1993,84669.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1992,91515.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1991,89519.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1990,84160.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1989,66427.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1988,50824.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1987,44951.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1986,42519.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1985,45264.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1984,37243.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1983,32022.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1982,69415.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1981,78401.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1980,66170.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1979,68565.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1978,67892.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1977,75109.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1976,66630.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1975,56405.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1974,60670.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1973,66956.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1972,47452.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1971,51015.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1970,61812.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1969,60031.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1968,57011.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1967,53949.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1966,51515.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1965,63693.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1964,53723.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1963,46127.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1962,39681.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1961,59106.0,CA,SEDS.CLTCB.CA.A,Billion Btu
1960,35903.0,CA,SEDS.CLTCB.CA.A,Billion Btu
2024,2010464.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2023,2154560.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2022,2131372.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2021,2172757.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2020,2153254.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2019,2218732.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2018,2209801.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2017,2190994.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2016,2248939.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2015,2384061.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2014,2409574.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2013,2480792.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2012,2456371.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2011,2196252.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2010,2325411.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2009,2391374.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2008,2472612.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2007,2467545.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2006,2375929.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2005,2304463.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2004,2462247.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2003,2317062.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2002,2318656.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2001,2513856.0,CA,SEDS.NNTCB.CA.A,Billion Btu
2000,2456438.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1999,2379558.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1998,2418688.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1997,2185029.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1996,2017680.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1995,2109956.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1994,2334777.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1993,2213111.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1992,2294135.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1991,2208285.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1990,2101602.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1989,2047845.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1988,1860391.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1987,1992956.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1986,1591045.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1985,1925459.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1984,1739833.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1983,1601037.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1982,1765171.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1981,1947370.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1980,1890887.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1979,1900357.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1978,1646333.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1977,1864187.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1976,1849711.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1975,1937322.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1974,1937140.0,CA,SEDS.NNTCB.CA.A,Billion Btu
1973,2154045.0,CA,SEDS.NNTCB.CA.A,Billion Btu
