year,annual_price_mean,annual_price_median,weekly_points,state,source_file,petroleum_total_thousand_barrels,petroleum_energy_billion_btu,natural_gas_total_billion_btu,renewable_total_billion_btu,natgas_supply_bcf,annual_price_mean_lag1,annual_price_mean_lag2,petroleum_total_thousand_barrels_lag1,petroleum_total_thousand_barrels_lag2,petroleum_energy_billion_btu_lag1,petroleum_energy_billion_btu_lag2,natural_gas_total_billion_btu_lag1,natural_gas_total_billion_btu_lag2,renewable_total_billion_btu_lag1,renewable_total_billion_btu_lag2,natgas_supply_bcf_lag1,natgas_supply_bcf_lag2,price_yoy_pct,usage_yoy_pct,target_next_year_price,target_next_year_usage
2000,1.76821875,1.7595,32,CA,retailgasolineprices_ca.csv,65890.0,3571465.0,2456438.0,370066.0,2849.0,,,,,,,,,,,,,,,1.6773962264150943,72395.0
2001,1.6773962264150943,1.704,53,CA,retailgasolineprices_ca.csv,72395.0,3585715.0,2513856.0,325466.0,2681.0,1.76821875,,65890.0,,3571465.0,,2456438.0,,370066.0,,2849.0,,-0.05136385053314563,0.09872514797389598,1.560923076923077,72040.0
2002,1.560923076923077,1.6105,52,CA,retailgasolineprices_ca.csv,72040.0,3704382.0,2318656.0,355371.0,2591.0,1.6773962264150943,1.76821875,72395.0,65890.0,3585715.0,3571465.0,2513856.0,2456438.0,325466.0,370066.0,2681.0,2849.0,-0.06943687344578209,-0.004903653567235322,1.877903846153846,67577.0
2003,1.877903846153846,1.831,52,CA,retailgasolineprices_ca.csv,67577.0,3520087.0,2317062.0,406651.0,2450.0,1.560923076923077,1.6773962264150943,72040.0,72395.0,3704382.0,3585715.0,2318656.0,2513856.0,355371.0,325466.0,2591.0,2681.0,0.2030726394638278,-0.06195169350360907,2.1664038461538464,67499.0
2004,2.1664038461538464,2.173,52,CA,retailgasolineprices_ca.csv,67499.0,3670782.0,2462247.0,423563.0,2634.0,1.877903846153846,1.560923076923077,67577.0,72040.0,3520087.0,3704382.0,2317062.0,2318656.0,406651.0,355371.0,2450.0,2591.0,0.15362873908101315,-0.0011542388682539428,2.5172115384615386,69209.0
2005,2.5172115384615386,2.5045,52,CA,retailgasolineprices_ca.csv,69209.0,3741092.0,2304463.0,439340.0,3228.0,2.1664038461538464,1.877903846153846,67499.0,67577.0,3670782.0,3520087.0,2462247.0,2317062.0,423563.0,406651.0,2634.0,2450.0,0.16193088510736509,0.02533370864753559,2.8546730769230773,68041.0
2006,2.8546730769230773,2.758,52,CA,retailgasolineprices_ca.csv,68041.0,3786528.0,2375929.0,464148.0,2794.0,2.5172115384615386,2.1664038461538464,69209.0,67499.0,3741092.0,3670782.0,2304463.0,2462247.0,439340.0,423563.0,3228.0,2634.0,0.13406165246953683,-0.01687641780693261,3.1236415094339622,69299.0
2007,3.1236415094339622,3.19,53,CA,retailgasolineprices_ca.csv,69299.0,3795097.0,2467545.0,403528.0,2740.0,2.8546730769230773,2.5172115384615386,68041.0,69209.0,3786528.0,3741092.0,2375929.0,2304463.0,464148.0,439340.0,2794.0,3228.0,0.09422039766486812,0.018488852309636927,3.560711538461539,59587.0
2008,3.560711538461539,3.688,52,CA,retailgasolineprices_ca.csv,59587.0,3553537.0,2472612.0,397934.0,2406.0,3.1236415094339622,2.8546730769230773,69299.0,68041.0,3795097.0,3786528.0,2467545.0,2375929.0,403528.0,464148.0,2740.0,2794.0,0.13992323629569725,-0.1401463224577555,2.725134615384615,50878.0
2009,2.725134615384615,2.94,52,CA,retailgasolineprices_ca.csv,50878.0,3409620.0,2391374.0,419883.0,2773.0,3.560711538461539,3.1236415094339622,59587.0,69299.0,3553537.0,3795097.0,2472612.0,2467545.0,397934.0,403528.0,2406.0,2740.0,-0.23466571612199394,-0.14615604074714283,3.138173076923077,49642.0
2010,3.138173076923077,3.138,52,CA,retailgasolineprices_ca.csv,49642.0,3253819.0,2325411.0,492958.0,2647.0,2.725134615384615,3.560711538461539,50878.0,59587.0,3409620.0,3553537.0,2391374.0,2472612.0,419883.0,397934.0,2773.0,2406.0,0.15156625995892958,-0.024293407759738983,3.863384615384616,54406.0
2011,3.863384615384616,3.8835,52,CA,retailgasolineprices_ca.csv,54406.0,3183766.0,2196252.0,541230.0,2934.0,3.138173076923077,2.725134615384615,49642.0,50878.0,3253819.0,3409620.0,2325411.0,2391374.0,492958.0,419883.0,2647.0,2773.0,0.23109354413702254,0.09596712461222356,4.080924528301886,49057.0
