"Series Key",SEDS.DFTCP.CA.A,"Series Key",SEDS.HLTCP.CA.A,"Series Key",SEDS.JFTCP.CA.A,"Series Key",SEDS.MGTCP.CA.A,"Series Key",SEDS.RFTCP.CA.A,"Series Key",SEDS.P1TCP.CA.A
"Series Name","SEDS.DFTCP.CA.A, annual","Series Name","SEDS.HLTCP.CA.A, annual","Series Name","SEDS.JFTCP.CA.A, annual","Series Name","SEDS.MGTCP.CA.A, annual","Series Name","SEDS.RFTCP.CA.A, annual","Series Name","SEDS.P1TCP.CA.A, annual"
Units,"Thousand barrels",Units,"Thousand barrels",Units,"Thousand barrels",Units,"Thousand barrels",Units,"Thousand barrels",Units,"Thousand barrels"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2024
"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

2024,91328,2024,15460,2024,93494,2024,312840,2024,26023,2024,120797
2023,96776,2023,15524,2023,89893,2023,314150,2023,24040,2023,107279
2022,98320,2022,15613,2022,82962,2022,316425,2022,28960,2022,86743
2021,98509,2021,15791,2021,70720,2021,319514,2021,28262,2021,75769
2020,91727,2020,15152,2020,59910,2020,289918,2020,20054,2020,48231
2019,98407,2019,16026,2019,103959,2019,360243,2019,29330,2019,52318
2018,99970,2018,15198,2018,102047,2018,365610,2018,26865,2018,53549
2017,100277,2017,14508,2017,100033,2017,366820,2017,26237,2017,52981
2016,97173,2016,15053,2016,94087,2016,364832,2016,23198,2016,52800
2015,98250,2015,13951,2015,86928,2015,358108,2015,18556,2015,50590
2014,97156,2014,13959,2014,80661,2014,347508,2014,13448,2014,51146
2013,92440,2013,14303,2013,79010,2013,346483,2013,19753,2013,53143
2012,89815,2012,14441,2012,77116,2012,342083,2012,26576,2012,49057
2011,93626,2011,16505,2011,76730,2011,345678,2011,29732,2011,54406
2010,91523,2010,16507,2010,77045,2010,355172,2010,39920,2010,49642
2009,87734,2009,16682,2009,97985,2009,356713,2009,38535,2009,50878
2008,90395,2008,16341,2008,100836,2008,364468,2008,40614,2008,59587
2007,99024,2007,11505,2007,110794,2007,380780,2007,39680,2007,69299
2006,99305,2006,12090,2006,106403,2006,383178,2006,37731,2006,68041
2005,96902,2005,12375,2005,104612,2005,381301,2005,33939,2005,69209
2004,94023,2004,14831,2004,105408,2004,376075,2004,27786,2004,67499
2003,82540,2003,14689,2003,99721,2003,367675,2003,23421,2003,67577
2002,89580,2002,14696,2002,102756,2002,369567,2002,30768,2002,72040
2001,97376,2001,11060,2001,97216,2001,351981,2001,25470,2001,72395
2000,93456,2000,12558,2000,103001,2000,342890,2000,33734,2000,65890
1999,82748,1999,12171,1999,98673,1999,337791,1999,23794,1999,70775
1998,78526,1998,10936,1998,105482,1998,329943,1998,17194,1998,65189
1997,79624,1997,8854,1997,103188,1997,322871,1997,21420,1997,66286
1996,73677,1996,10914,1996,103773,1996,318257,1996,40283,1996,68815
1995,73050,1995,14798,1995,95304,1995,313464,1995,46248,1995,62354
1994,72385,1994,18099,1994,98793,1994,307653,1994,41932,1994,64474
1993,64985,1993,16655,1993,89244,1993,308726,1993,37167,1993,60664
1992,69190,1992,21088,1992,86688,1992,315643,1992,34315,1992,66499
1991,74857,1991,18596,1991,90064,1991,298698,1991,45310,1991,63611
1990,77233,1990,19992,1990,94907,1990,305983,1990,64095,1990,72164
1989,80510,1989,24697,1989,90291,1989,310918,1989,67223,1989,73292
1988,81954,1988,22798,1988,82620,1988,303621,1988,68917,1988,76108
1987,68393,1987,22328,1987,79857,1987,292909,1987,66638,1987,70846
1986,74668,1986,20119,1986,75176,1986,279569,1986,58047,1986,68833
