"Series Key",SEDS.DFTCP.NY.A,"Series Key",SEDS.HLTCP.NY.A,"Series Key",SEDS.JFTCP.NY.A,"Series Key",SEDS.MGTCP.NY.A,"Series Key",SEDS.RFTCP.NY.A,"Series Key",SEDS.P1TCP.NY.A
"Series Name","SEDS.DFTCP.NY.A, annual","Series Name","SEDS.HLTCP.NY.A, annual","Series Name","SEDS.JFTCP.NY.A, annual","Series Name","SEDS.MGTCP.NY.A, annual","Series Name","SEDS.RFTCP.NY.A, annual","Series Name","SEDS.P1TCP.NY.A, annual"
Units,"Thousand barrels",Units,"Thousand barrels",Units,"Thousand barrels",Units,"Thousand barrels",Units,"Thousand barrels",Units,"Thousand barrels"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2024
"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

2024,58462,2024,10228,2024,47999,2024,124969,2024,3530,2024,10903
2023,62645,2023,9544,2023,47378,2023,124770,2023,3442,2023,11831
2022,66741,2022,10188,2022,42345,2022,121972,2022,5247,2022,10229
2021,61326,2021,10401,2021,30773,2021,124180,2021,4371,2021,11150
2020,51718,2020,9931,2020,23537,2020,112676,2020,2416,2020,9521
2019,61140,2019,10276,2019,50782,2019,135872,2019,2269,2019,9997
2018,63298,2018,9953,2018,50226,2018,137758,2018,5474,2018,10054
2017,56280,2017,8459,2017,51731,2017,136414,2017,5202,2017,10275
2016,57242,2016,8516,2016,49885,2016,134799,2016,6358,2016,11628
2015,62971,2015,8609,2015,47134,2015,129909,2015,7582,2015,10806
2014,59002,2014,9230,2014,44854,2014,131943,2014,11396,2014,10433
2013,56594,2013,7657,2013,43785,2013,127461,2013,11032,2013,10113
2012,61030,2012,6869,2012,41237,2012,127902,2012,10262,2012,10549
2011,60439,2011,7689,2011,40937,2011,130718,2011,14517,2011,11643
2010,60987,2010,8138,2010,40685,2010,138087,2010,22234,2010,13054
2009,64154,2009,8344,2009,16760,2009,135921,2009,24060,2009,14423
2008,73289,2008,8536,2008,21658,2008,136105,2008,24204,2008,14618
2007,78850,2007,7345,2007,19977,2007,139140,2007,28975,2007,15583
2006,75871,2006,7152,2006,20341,2006,140020,2006,25526,2006,17960
2005,86630,2005,8261,2005,20016,2005,137355,2005,52150,2005,20911
2004,95300,2004,8639,2004,19300,2004,137391,2004,51469,2004,18701
2003,91548,2003,7771,2003,17268,2003,138010,2003,46578,2003,14955
2002,76684,2002,7613,2002,15428,2002,136664,2002,31110,2002,14979
2001,82878,2001,7111,2001,14655,2001,133724,2001,37090,2001,17194
2000,79039,2000,9850,2000,9516,2000,132831,2000,42349,2000,15988
1999,71969,1999,7316,1999,9122,1999,133621,1999,35353,1999,17643
1998,64516,1998,7306,1998,14800,1998,131469,1998,35732,1998,17011
1997,71033,1997,6686,1997,12138,1997,130923,1997,29992,1997,14114
1996,71914,1996,7073,1996,11532,1996,130979,1996,36628,1996,14348
1995,70349,1995,6332,1995,7697,1995,132627,1995,30126,1995,14018
1994,73218,1994,6351,1994,5729,1994,128228,1994,40125,1994,14525
1993,72898,1993,6139,1993,5131,1993,131710,1993,47822,1993,15257
1992,72742,1992,7076,1992,5357,1992,129064,1992,51308,1992,14882
1991,68063,1991,7206,1991,5300,1991,133311,1991,67751,1991,14270
1990,73802,1990,5606,1990,5447,1990,139180,1990,77242,1990,14173
1989,82091,1989,5579,1989,6047,1989,133483,1989,85316,1989,16132
1988,83567,1988,5238,1988,4915,1988,130449,1988,88972,1988,19938
1987,81230,1987,5474,1987,2904,1987,142918,1987,77490,1987,17270
1986,76544,1986,4878,1986,3738,1986,136798,1986,79619,1986,14462
1985,67766,1985,4923,1985,3856,1985,136330,1985,66334,1985,17784
1984,65732,1984,5056,1984,3887,1984,113249,1984,73011,1984,16696
1983,56756,1983,4905,1983,3790,1983,127144,1983,76067,1983,14783
1982,62116,1982,4878,1982,4827,1982,129867,1982,95706,1982,13894
1981,64120,1981,5215,1981,25383,1981,129730,1981,95745,1981,14633
1980,72559,1980,5631,1980,35936,1980,127422,1980,115488,1980,15469
1979,90071,1979,5663,1979,35746,1979,137083,1979,127846,1979,18282
1978,113553,1978,5928,1978,38907,1978,144925,1978,150720,1978,20815
1977,115468,1977,5865,1977,39197,1977,141083,1977,156520,1977,20193
1976,115090,1976,5580,1976,38574,1976,143459,1976,152639,1976,20575
