"Series Key",SEDS.CLTCB.CA.A,"Series Key",SEDS.NNTCB.CA.A,"Series Key",SEDS.NUETB.CA.A,"Series Key",SEDS.PMTCB.CA.A,"Series Key",SEDS.RETCB.CA.A,"Series Key",SEDS.ELISB.CA.A,"Series Key",SEDS.ELNIB.CA.A
"Series Name","SEDS.CLTCB.CA.A, annual","Series Name","SEDS.NNTCB.CA.A, annual","Series Name","SEDS.NUETB.CA.A, annual","Series Name","SEDS.PMTCB.CA.A, annual","Series Name","SEDS.RETCB.CA.A, annual","Series Name","SEDS.ELISB.CA.A, annual","Series Name","SEDS.ELNIB.CA.A, annual"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2023,"Start Date",2024,"Start Date",2024
"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

2024,29082,2024,2010464,2024,191930,2024,2981768,2023,1064641,2024,0,2024,15473
2023,28746,2023,2154560,2023,185192,2023,2992521,2022,880835,2023,371680,2023,15273
2022,30049,2022,2131372,2022,183814,2022,3017613,2021,809581,2022,600661,2022,10930
2021,28244,2021,2172757,2021,171842,2021,2959919,2020,738376,2021,623973,2021,12500
2020,28034,2020,2153254,2020,169838,2020,2660428,2019,788792,2020,672644,2020,11045
2019,30886,2019,2218732,2019,168799,2019,3372257,2018,690792,2019,636493,2019,16092
2018,33256,2018,2209801,2018,190422,2018,3390054,2017,724945,2018,777555,2018,2472
2017,33663,2017,2190994,2017,187227,2017,3365600,2016,645141,2017,595675,2017,48598
2016,32077,2016,2248939,2016,197754,2016,3285086,2015,564184,2016,676125,2016,52498
2015,30967,2015,2384061,2015,193529,2015,3169697,2014,560635,2015,749236,2015,46516
2014,39486,2014,2409574,2014,177656,2014,3064557,2013,554027,2014,760461,2014,41998
2013,38151,2013,2480792,2013,187162,2013,3076413,2012,495642,2013,768897,2013,37362
2012,43832,2012,2456371,2012,193939,2012,3088263,2011,541230,2012,766854,2012,29352
2011,55264,2011,2196252,2011,383644,2011,3183766,2010,492958,2011,807700,2011,20081
2010,54972,2010,2325411,2010,336562,2010,3253819,2009,419883,2010,796911,2010,10483
2009,52403,2009,2391374,2009,332218,2009,3409620,2008,397934,2009,815499,2009,8628
2008,63050,2008,2472612,2008,339506,2008,3553537,2007,403528,2008,905983,2008,16019
2007,66495,2007,2467545,2007,375427,2007,3795097,2006,464148,2007,796446,2007,18782
2006,67017,2006,2375929,2006,333488,2006,3786528,2005,439340,2006,750560,2006,8092
2005,67422,2005,2304463,2005,377313,2005,3741092,2004,423563,2005,793482,2005,18858
2004,68909,2004,2462247,2004,315634,2004,3670782,2003,406651,2004,890292,2004,4241
2003,69469,2003,2317062,2003,370958,2003,3520087,2002,355371,2003,755824,2003,14078
2002,70010,2002,2318656,2002,358707,2002,3704382,2001,325466,2002,781544,2002,6379
2001,67839,2001,2513856,2001,346911,2001,3585715,2000,370066,2001,759868,2001,10423
2000,70012,2000,2456438,2000,366845,2000,3571465,1999,372132,2000,658249,2000,11536
1999,69547,1999,2379558,1999,348736,1999,3423775,1998,392331,1999,771283,1999,643
1998,66157,1998,2418688,1998,362928,1998,3315357,1997,376474,1998,777748,1998,-2104
1997,82651,1997,2185029,1997,320194,1997,3292194,1996,404112,1997,802130,1997,4502
