"Series Key",SEDS.CLTCB.NY.A,"Series Key",SEDS.NNTCB.NY.A,"Series Key",SEDS.NUETB.NY.A,"Series Key",SEDS.PMTCB.NY.A,"Series Key",SEDS.RETCB.NY.A,"Series Key",SEDS.ELISB.NY.A,"Series Key",SEDS.ELNIB.NY.A
"Series Name","SEDS.CLTCB.NY.A, annual","Series Name","SEDS.NNTCB.NY.A, annual","Series Name","SEDS.NUETB.NY.A, annual","Series Name","SEDS.PMTCB.NY.A, annual","Series Name","SEDS.RETCB.NY.A, annual","Series Name","SEDS.ELISB.NY.A, annual","Series Name","SEDS.ELNIB.NY.A, annual"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2024,"Start Date",2023,"Start Date",2024,"Start Date",2024
"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960,"End Date",1960
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

2024,2650,2024,1366998,2024,282727,2024,1310779,2023,272646,2024,0,2024,20894
2023,4823,2023,1345406,2023,287690,2023,1332140,2022,269872,2023,163380,2023,19709
2022,6143,2022,1403401,2022,280133,2022,1321398,2021,263945,2022,132473,2022,41653
2021,5370,2021,1359437,2021,325141,2021,1237586,2020,260783,2021,106693,2021,46850
2020,5681,2020,1305282,2020,401441,2020,1064267,2019,291996,2020,55404,2020,47738
2019,13648,2019,1337750,2019,468481,2019,1384130,2018,289292,2019,85800,2019,49134
2018,16710,2018,1393657,2018,448718,2018,1420826,2017,283969,2018,111332,2018,53072
2017,19553,2017,1276905,2017,441029,2017,1379707,2016,269722,2017,102578,2017,56123
2016,29679,2016,1336455,2016,434791,2016,1383047,2015,266962,2016,64159,2016,61231
2015,41241,2015,1396693,2015,466457,2015,1383843,2014,252145,2015,41984,2015,59014
2014,64655,2014,1392378,2014,450141,2014,1382122,2013,242438,2014,56008,2014,54945
2013,68707,2013,1315282,2013,467651,2013,1330469,2012,226194,2013,58031,2013,61399
2012,72914,2012,1260950,2012,427277,2012,1342987,2011,240517,2012,26271,2012,56397
2011,125181,2011,1247757,2011,446761,2011,1388670,2010,226403,2011,73503,2011,35663
2010,167094,2010,1224484,2010,437620,2010,1486624,2009,218597,2010,124974,2010,23986
2009,155965,2009,1166614,2009,454806,2009,1385817,2008,247215,2009,88726,2009,33422
2008,228985,2008,1205137,2008,451622,2008,1480358,2007,222090,2008,32985,2008,45436
2007,258450,2007,1214349,2007,445288,2007,1562784,2006,218253,2007,44398,2007,38514
2006,256345,2006,1120196,2006,440606,2006,1556773,2005,203326,2006,61470,2006,34071
2005,256879,2005,1107206,2005,442937,2005,1807239,2004,224085,2005,134844,2005,24841
2004,276470,2004,1126597,2004,423797,2004,1823746,2003,196092,2004,201991,2004,17721
2003,286179,2003,1131344,2003,423959,2003,1760002,2002,194413,2003,176422,2003,18729
2002,280584,2002,1227223,2002,413686,2002,1560207,2001,191219,2002,140850,2002,37409
2001,306993,2001,1204885,2001,421845,2001,1625732,2000,261307,2001,82647,2001,26485
2000,330844,2000,1278811,2000,328597,2000,1604698,1999,251643,2000,132237,2000,29560
1999,317998,1999,1308185,1999,386844,1999,1522476,1998,261254,1999,96535,1999,3334
1998,337438,1998,1266346,1998,328512,1998,1498639,1997,284752,1998,43525,1998,2819
1997,325232,1997,1357187,1997,310304,1997,1462905,1996,240615,1997,54288,1997,5287
1996,311795,1996,1229479,1996,369977,1996,1510247,1995,214169,1996,49371,1996,24050
1995,305274,1995,1293868,1995,276714,1995,1441869,1994,218065,1995,47612,1995,30363
1994,316750,1994,1094082,1994,305527,1994,1493381,1993,218505,1994,86506,1994,43611
1993,326194,1993,1021481,1993,282445,1993,1559483,1992,200666,1993,177919,1993,18924
1992,355983,1992,1032726,1992,252926,1992,1573605,1991,188187,1992,162252,1992,10417
1991,352268,1991,916539,1991,298252,1991,1667903,1990,193907,1991,75334,1991,10431
1990,349779,1990,894964,1990,249982,1990,1785597,1989,204793,1990,91407,1990,2430
1989,363802,1989,869652,1989,241794,1989,1868573,1988,198816,1989,108698,1989,15505
1988,332998,1988,812385,1988,256306,1988,1901048,1987,205392,1988,125455,1988,41604
1987,294305,1987,801487,1987,239397,1987,1853579,1986,220133,1987,121492,1987,52754
1986,253341,1986,749210,1986,233632,1986,1793211,1985,224266,1986,147777,1986,52756
1985,301368,1985,782888,1985,255910,1985,1676368,1984,221079,1985,107838,1985,58985
1984,299885,1984,809500,1984,229730,1984,1577749,1983,248273,1984,79570,1984,71370
1983,268018,1983,738159,1983,178577,1983,1606417,1982,217430,1983,120911,1983,69177
1982,288982,1982,790695,1982,159870,1982,1775955,1981,231595,1982,130816,1982,51615
1981,308653,1981,770856,1981,192412,1981,1909639,1980,219986,1981,116538,1981,48140
1980,313708,1980,752573,1980,210259,1980,2135731,1979,184538,1980,106118,1980,24454
1979,315174,1979,633562,1979,201340,1979,2382107,1978,173677,1979,113726,1979,40697
1978,297344,1978,576482,1978,237431,1978,2737616,1977,161823,1978,53813,1978,16645
1977,336851,1977,567877,1977,221730,1977,2762674,1976,167710,1977,50102,1977,10493
1976,363821,1976,604276,1976,172988,1976,2746055,1975,156809,1976,53819,1976,8279
1975,312508,1975,585536,1975,144387,1975,2575898,1974,160434,1975,26515,1975,5567
1974,374196,1974,641925,1974,103490,1974,2662440,1973,159810,1974,52802,1974,10562
1973,369320,1973,703023,1973,78793,1973,2926764,1972,154346,1973,60181,1973,7821
1972,355384,1972,707277,1972,69775,1972,2847192,1971,146920,1972,16107,1972,5435
1971,435654,1971,731597,1971,70670,1971,2745083,1970,148081,1971,560,1971,2878
1970,598940,1970,725813,1970,46908,1970,2647016,1969,152345,1970,20468,1970,3222
1969,656531,1969,698046,1969,14042,1969,2530375,1968,145503,1969,31982,1969,2909
1968,700146,1968,653282,1968,12131,1968,2416843,1967,137102,1968,21912,1968,94
1967,726567,1967,602670,1967,13321,1967,2354677,1966,134028,1967,13241,1967,1505
1966,731385,1966,645684,1966,9274,1966,2220867,1965,124906,1966,28299,1966,2867
1965,755238,1965,558658,1965,8585,1965,2109451,1964,119068,1965,9831,1965,1690
1964,739638,1964,527890,1964,4555,1964,1888516,1963,123205,1964,7430,1964,7269
1963,643946,1963,520712,1963,7017,1963,1902730,1962,128633,1963,21594,1963,2750
1962,620891,1962,491055,1962,706,1962,1883701,1961,119407,1962,22835,1962,2963
1961,634013,1961,450630,1961,0,1961,1817656,1960,100502,1961,-9385,1961,4405
1960,691728,1960,434127,1960,0,1960,1700047,,,1960,-24704,1960,12361
